CountryCode,SeriesCode,DESCRIPTION
ABW,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.IN,Derived using male and female life expectancy
ABW,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ADO,SP.DYN.CBRT.IN,Data sources : Eurostat
ADO,SP.DYN.CDRT.IN,Data sources : Eurostat
ADO,SP.DYN.TFRT.IN,Data sources : Eurostat
ADO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AFG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
AFG,SH.XPD.PCAP.PP.KD,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PUBL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.IN,Derived using male and female life expectancy
AFG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AGO,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.IN,Derived using male and female life expectancy
AGO,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ALB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.IN,Derived using male and female life expectancy
ALB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat"
ARE,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARG,FP.CPI.TOTL.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The IMF Executive Board will review this issue again in November 2016."
ARG,NY.GDP.MKTP.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The IMF Executive Board will review this issue again in November 2016."
ARG,NY.GNP.ATLS.CD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The IMF Executive Board will review this issue again in November 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period."
ARG,NY.GNP.PCAP.CD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The IMF Executive Board will review this issue again in November 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period."
