"Var1"	"Freq"
"Obesity-related traits"	957
"Height"	822
"IgG glycosylation"	699
"Type 2 diabetes"	340
"Rheumatoid arthritis"	294
"Crohn's disease"	249
"Schizophrenia"	248
"Blood metabolite levels"	245
"HDL cholesterol"	222
"Breast cancer"	199
"Body mass index"	194
"Menarche (age at onset)"	191
"LDL cholesterol"	184
"Prostate cancer"	183
"Multiple sclerosis"	177
"Ulcerative colitis"	161
"Triglycerides"	160
"QT interval"	156
"Cholesterol, total"	142
"Bipolar disorder"	137
"Systemic lupus erythematosus"	132
"Trans fatty acid levels"	131
"Bone mineral density"	129
"Bipolar disorder and schizophrenia"	122
"Cognitive performance"	121
"Parkinson's disease"	120
"Coronary heart disease"	118
"Blood pressure"	117
"Inflammatory bowel disease"	116
"Metabolite levels"	104
"PR interval in Tripanosoma cruzi seropositivity"	102
"Type 1 diabetes"	97
"Obesity"	96
"Amyotrophic lateral sclerosis (sporadic)"	95
"Age-related macular degeneration"	94
"Colorectal cancer"	94
"Lipid metabolism phenotypes"	91
"Platelet counts"	91
"Inflammatory skin disease"	88
"Response to amphetamines"	86
"Red blood cell traits"	84
"Major depressive disorder"	83
"Myopia (pathological)"	81
"Educational attainment"	77
"Attention deficit hyperactivity disorder"	75
"Migraine"	75
"Glucose homeostasis traits"	74
"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"	73
"Celiac disease"	73
"Urate levels"	73
"Mean platelet volume"	72
"Phospholipid levels (plasma)"	72
"Intraocular pressure"	70
"Amyotrophic lateral sclerosis"	69
"Alzheimer's disease"	68
"Dental caries"	68
"Alzheimer's disease (late onset)"	67
"Pulmonary function"	67
"Acute lymphoblastic leukemia (childhood)"	63
"Hypertension"	62
"Psoriasis"	62
"Cognitive function"	61
"Thyroid hormone levels"	60
"Thiazide-induced adverse metabolic effects in hypertensive patients"	59
"Adiponectin levels"	58
"Orofacial clefts"	58
"Intelligence"	57
"Response to antipsychotic treatment"	57
"Chronic lymphocytic leukemia"	56
"Coronary artery calcification"	56
"Asthma"	54
"Blood metabolite ratios"	54
"Iron status biomarkers"	53
"Autism"	52
"F-cell distribution"	51
"Prostate cancer (gene x gene interaction)"	51
"Pulmonary function (interaction)"	51
"Bilirubin levels"	50
"Bipolar disorder (body mass index interaction)"	50
"HIV-1 control"	50
"Sudden cardiac arrest"	50
"Age-related hearing impairment (interaction)"	49
"Pancreatic cancer"	49
"Protein quantitative trait loci"	49
"Metabolic traits"	48
"Metabolic syndrome"	47
"Diastolic blood pressure"	46
"Immune response to smallpox vaccine (IL-6)"	46
"Optic cup area"	46
"Primary biliary cirrhosis"	46
"Smoking behavior"	46
"Systolic blood pressure"	45
"Alzheimer's disease (cognitive decline)"	44
"Mean corpuscular volume"	44
"Tuberculosis"	44
"Visceral adipose tissue adjusted for BMI"	44
"Longevity"	43
"Verbal declarative memory"	43
"Atopic dermatitis"	42
"Calcium levels"	42
"Menopause (age at onset)"	42
"Smooth-surface caries"	42
"Visceral adipose tissue/subcutaneous adipose tissue ratio"	42
"IgA nephropathy"	41
"Uric acid levels"	41
"Testicular germ cell tumor"	40
"Fibrinogen"	39
"Pulmonary function decline"	39
"Subcutaneous adipose tissue"	39
"Urinary metabolites (H-NMR features)"	39
"Visceral fat"	39
"C-reactive protein"	38
"QRS duration in Tripanosoma cruzi seropositivity"	38
"Response to statin therapy"	38
"Sex hormone-binding globulin levels"	38
"Blood pressure (smoking interaction)"	37
"Disc degeneration (lumbar)"	37
"Heart rate"	37
"Migraine - clinic-based"	37
"Periodontitis (Mean PAL)"	37
"Vitiligo"	37
"PR interval"	36
"Venous thromboembolism (gene x gene interaction)"	36
"White blood cell count"	36
"Allergic rhinitis"	35
"Lung cancer"	35
"Motion sickness"	35
"Self-reported allergy"	35
"Chronic obstructive pulmonary disease-related biomarkers"	34
"Hippocampal atrophy"	34
"Mean corpuscular hemoglobin"	34
"Response to efavirenz-containing treatment in HIV 1 infection (virologic failure)"	34
"Endometriosis"	33
"Glycated hemoglobin levels"	33
"Heschl's gyrus morphology"	33
"Optic disc area"	33
"Quantitative traits"	33
"Weight"	33
"Electrocardiographic traits"	32
"Fasting plasma glucose"	32
"Immune reponse to smallpox (secreted IFN-alpha)"	32
"Migraine without aura"	32
"Asthma (childhood onset)"	31
"Basal cell carcinoma"	31
"Bone mineral density (spine)"	31
"Breast size"	31
"Chronic kidney disease"	31
"Corneal structure"	31
"Fasting glucose-related traits (interaction with BMI)"	31
"Leprosy"	31
"Lewy body disease"	31
"Lipid traits"	31
"Neutrophil count"	31
"Symmetrical dimethylarginine levels"	31
"Telomere length"	31
"Airflow obstruction"	30
"Bladder cancer"	30
"Corneal astigmatism"	30
"Fasting glucose-related traits"	30
"Hemostatic factors and hematological phenotypes"	30
"Age-related hearing impairment"	29
"Alcohol dependence"	29
"Inflammatory biomarkers"	29
"Metabolite levels  (X-11787)"	29
"Refractive error"	29
"Systemic sclerosis"	29
"Cardiovascular disease risk factors"	28
"Clozapine-induced agranulocytosis"	28
"Diabetic retinopathy"	28
"Hematological and biochemical traits"	28
"Periodontitis (CDC/AAP)"	28
"Response to tocilizumab in rheumatoid arthritis"	28
"Venous thromboembolism"	28
"Ankylosing spondylitis"	27
"Bone mineral density (hip)"	27
"Electroencephalogram traits"	27
"Epithelial ovarian cancer"	27
"Melanoma"	27
"Ovarian cancer"	27
"QRS duration"	27
"Response to abacavir-containing treatment in HIV-1 infection (virologic failure)"	27
"Smoking initiation"	27
"Vertical cup-disc ratio"	27
"Airway responsiveness in chronic obstructive pulmonary disease"	26
"Alcohol dependence (age at onset)"	26
"Anorexia nervosa"	26
"Attention deficit hyperactivity disorder and conduct disorder"	26
"Bronchopulmonary dysplasia"	26
"Coronary artery disease"	26
"Dementia and core Alzheimer's disease neuropathologic changes"	26
"Dialysis-related mortality"	26
"Liver enzyme levels (gamma-glutamyl transferase)"	26
"Waist-hip ratio"	26
"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	25
"C-reactive protein levels"	25
"Classic bladder exstrophy"	25
"Ejection fraction in Tripanosoma cruzi seropositivity"	25
"Fractional exhaled nitric oxide (childhood)"	25
"Hypospadias"	25
"Information processing speed"	25
"Metabolite levels (HVA/MHPG ratio)"	25
"Multiple myeloma (IgH translocation)"	25
"Post-traumatic stress disorder"	25
"Pubertal anthropometrics"	25
"Alzheimer's disease biomarkers"	24
"Chronic hepatitis B infection"	24
"Graves' disease"	24
"Hippocampal volume"	24
"HIV-1 viral setpoint"	24
"Magnesium levels"	24
"Obesity (early onset extreme)"	24
"Parasitemia in Tripanosoma cruzi seropositivity"	24
"Response to citalopram treatment"	24
"Serum dimethylarginine levels (asymmetric/symetric ratio)"	24
"Waist circumference"	24
"Bulimia nervosa"	23
"End-stage coagulation"	23
"Eosinophilic esophagitis"	23
"Erectile dysfunction and prostate cancer treatment"	23
"Hematology traits"	23
"Local histogram emphysema pattern"	23
"Metabolite levels (Pyroglutamine)"	23
"Migraine with aura"	23
"Type 1 diabetes autoantibodies"	23
"Asymmetrical dimethylarginine levels"	22
"Attention deficit hyperactivity disorder (inattention symptoms)"	22
"Axial length"	22
"Hodgkin's lymphoma"	22
"Neurofibrillary tangles"	22
"Personality dimensions"	22
"Pit-and-Fissure caries"	22
"Response to anti-depressant treatment in major depressive disorder"	22
"Response to cytadine analogues (cytosine arabinoside)"	22
"Serum thyroid-stimulating hormone levels"	22
"Age at smoking initiation in chronic obstructive pulmonary disease"	21
"Alcohol consumption"	21
"Asthma and hay fever"	21
"Atrial fibrillation"	21
"Attention deficit hyperactivity disorder (combined symptoms)"	21
"Brain structure"	21
"Homocysteine levels"	21
"Idiopathic membranous nephropathy"	21
"Lipoprotein-associated phospholipase A2 activity and mass"	21
"Methotrexate phramacokinetics (acute lymphoblastic leukemia)"	21
"Mitochondrial DNA levels"	21
"Response to inhaled corticosteroid treatment in asthma (percentage change of FEV1)"	21
"Response to platinum-based chemotherapy (cisplatin)"	21
"Select biomarker traits"	21
"Social communication problems"	21
"Very long-chain saturated fatty acid levels (fatty acid 20:0)"	21
"Antibody status in Tripanosoma cruzi seropositivity"	20
"Behavioural disinhibition (generation interaction)"	20
"Bone properties (heel)"	20
"Capecitabine sensitivity"	20
"Chronic obstructive pulmonary disease"	20
"Fasting insulin-related traits (interaction with BMI)"	20
"Hypothyroidism"	20
"Metabolite levels (Dihydroxy docosatrienoic acid)"	20
"Metabolite levels (MHPG)"	20
"Non-alcoholic fatty liver disease histology (other)"	20
"Primary tooth development (number of teeth)"	20
"Response to angiotensin II receptor blocker therapy"	20
"Response to serotonin reuptake inhibitors in major depressive disorder"	20
"RR interval (heart rate)"	20
"Sleep duration"	20
"Systemic lupus erythematosus and Systemic sclerosis"	20
"White blood cell types"	20
"Airway wall thickness"	19
